,castTotalLikes,directorLikes,actor1likes,movieLikes,fbPosters,year,duration,genre,contentRating,criticReviews,userReviews,userVotes,rating
0,4834,0.0,1000.0,33000,0.0,2009.0,178.0,Action,PG-13,723.0,3054.0,886204,7.9
1,48350,563.0,40000.0,0,0.0,2007.0,169.0,Action,PG-13,302.0,1238.0,471220,7.1
2,11700,0.0,11000.0,85000,1.0,2015.0,148.0,Action,PG-13,602.0,994.0,275868,6.8
3,106759,22000.0,27000.0,164000,0.0,2012.0,164.0,Action,PG-13,813.0,2701.0,1144337,8.5
5,1873,475.0,640.0,24000,1.0,2012.0,132.0,Action,PG-13,462.0,738.0,212204,6.6
6,46055,0.0,24000.0,0,0.0,2007.0,156.0,Action,PG-13,392.0,1902.0,383056,6.2
7,2036,15.0,799.0,29000,1.0,2010.0,100.0,Adventure,PG,324.0,387.0,294810,7.8
8,92000,0.0,26000.0,118000,4.0,2015.0,141.0,Action,PG-13,635.0,1117.0,462669,7.5
9,58753,282.0,25000.0,10000,3.0,2009.0,153.0,Adventure,PG,375.0,973.0,321795,7.5
10,24450,0.0,15000.0,197000,0.0,2016.0,183.0,Action,PG-13,673.0,3018.0,371639,6.9
11,29991,0.0,18000.0,0,0.0,2006.0,169.0,Action,PG-13,434.0,2367.0,240396,6.1
12,2023,395.0,451.0,0,1.0,2008.0,106.0,Action,PG-13,403.0,1243.0,330784,6.7
13,48486,563.0,40000.0,5000,2.0,2006.0,151.0,Action,PG-13,313.0,1832.0,522040,7.3
14,45757,563.0,40000.0,48000,1.0,2013.0,150.0,Action,PG-13,450.0,711.0,181792,6.5
15,20495,0.0,15000.0,118000,0.0,2013.0,143.0,Action,PG-13,733.0,2536.0,548573,7.2
16,22697,80.0,22000.0,0,4.0,2008.0,150.0,Action,PG,258.0,438.0,149922,6.6
17,87697,0.0,26000.0,123000,3.0,2012.0,173.0,Action,PG-13,703.0,1722.0,995415,8.1
18,54083,252.0,40000.0,58000,4.0,2011.0,136.0,Action,PG-13,448.0,484.0,370704,6.7
19,12572,188.0,10000.0,40000,1.0,2012.0,106.0,Action,PG-13,451.0,341.0,268154,6.8
20,9152,0.0,5000.0,65000,0.0,2014.0,164.0,Adventure,PG-13,422.0,802.0,354228,7.5
21,28489,464.0,15000.0,56000,0.0,2012.0,153.0,Action,PG-13,599.0,1225.0,451803,7.0
22,3244,0.0,891.0,17000,0.0,2010.0,156.0,Action,PG-13,343.0,546.0,211765,6.7
23,9152,0.0,5000.0,83000,6.0,2013.0,186.0,Adventure,PG-13,509.0,951.0,483540,7.9
24,24106,129.0,16000.0,0,2.0,2007.0,113.0,Adventure,PG-13,251.0,666.0,149019,6.1
25,7123,0.0,6000.0,0,0.0,2005.0,201.0,Action,PG-13,446.0,2618.0,316018,7.2
26,45223,0.0,29000.0,26000,0.0,1997.0,194.0,Drama,PG-13,315.0,2528.0,793059,7.7
27,64798,94.0,21000.0,72000,0.0,2016.0,147.0,Action,PG-13,516.0,1022.0,272670,8.2
28,26679,532.0,14000.0,44000,0.0,2012.0,131.0,Action,PG-13,377.0,751.0,202382,5.9
29,8458,365.0,3000.0,150000,0.0,2015.0,124.0,Action,PG-13,644.0,1290.0,418214,7.0
30,2039,0.0,883.0,80000,0.0,2012.0,143.0,Action,PG-13,750.0,1498.0,522030,7.8
31,43388,0.0,24000.0,0,1.0,2004.0,135.0,Action,PG-13,300.0,1303.0,411164,7.3
32,30426,1000.0,21000.0,95000,3.0,2013.0,195.0,Action,PG-13,608.0,1187.0,557489,7.2
33,79957,13000.0,40000.0,24000,0.0,2010.0,108.0,Adventure,PG,451.0,736.0,306320,6.5
34,21714,420.0,20000.0,0,0.0,2006.0,104.0,Action,PG-13,334.0,1912.0,383427,6.8
35,14863,37.0,12000.0,44000,0.0,2013.0,104.0,Adventure,G,376.0,265.0,235025,7.3
36,3218,0.0,894.0,0,0.0,2009.0,150.0,Action,PG-13,366.0,1439.0,323207,6.0
37,3988,0.0,974.0,56000,2.0,2014.0,165.0,Action,PG-13,378.0,918.0,242420,5.7
38,73441,0.0,44000.0,60000,4.0,2013.0,130.0,Adventure,PG,525.0,511.0,175409,6.4
39,28631,464.0,15000.0,41000,0.0,2014.0,142.0,Action,PG-13,495.0,1067.0,321227,6.7
40,25550,364.0,12000.0,30000,0.0,2010.0,125.0,Action,PG,469.0,665.0,264183,6.8
41,4482,487.0,1000.0,10000,0.0,2011.0,106.0,Adventure,G,304.0,283.0,101178,6.3
42,17657,258.0,16000.0,24000,2.0,2011.0,123.0,Action,PG-13,436.0,550.0,223393,5.6
43,19085,125.0,15000.0,30000,3.0,2010.0,103.0,Adventure,G,453.0,733.0,544884,8.3
44,27468,368.0,23000.0,0,0.0,2009.0,118.0,Action,PG-13,422.0,974.0,286095,6.6
45,79150,0.0,26000.0,94000,0.0,2015.0,140.0,Action,PG-13,424.0,657.0,278232,7.2
46,32392,395.0,17000.0,129000,0.0,2013.0,123.0,Action,PG-13,654.0,995.0,465019,7.0
47,91434,0.0,34000.0,82000,7.0,2014.0,149.0,Action,PG-13,539.0,752.0,514125,8.0
48,21411,14000.0,19000.0,92000,0.0,2013.0,132.0,Action,PG-13,590.0,1171.0,395573,7.8
